materia;assunto;tipo;banca;enunciado;alternativa_a;alternativa_b;alternativa_c;alternativa_d;alternativa_e;resposta
DIREITO CONSTITUCIONAL;Princípio da Dignidade Humana;Certo/Errado;CESPE;A dignidade da pessoa humana é um dos fundamentos da República Federativa do Brasil.;Certo;Errado;;;;Certo
INFORMÁTICA;Banco de Dados (Conceito);Múltipla Escolha;VUNESP;O que é um SGBD (Sistema Gerenciador de Banco de Dados)?;Um tipo de firewall.;Um programa que cria, gerencia e manipula bancos de dados.;Um dispositivo de rede.;Uma linguagem de programação.;Um sistema operacional.;B
MATEMÁTICA;Equação do 1º Grau (Distribuição);Múltipla Escolha;ENEM;Se $5(x - 2) = 15$, qual o valor de x?;3;5;7;1;12;B
HISTÓRIA;Revolução Industrial (Consequências);Múltipla Escolha;FGV;O surgimento da doutrina socialista e do marxismo está diretamente relacionado ao contexto da:;Revolução Francesa.;Revolução Industrial.;Guerra Fria.;Primeira Guerra Mundial.;Colonização da América.;B
GEOGRAFIA;Meio Ambiente (Desmatamento);Múltipla Escolha;ENEM;O desmatamento da Floresta Amazônica tem como principal consequência:;Aumento da desertificação.;Diminuição da biodiversidade e alteração do regime de chuvas.;Aumento da área de caatinga.;Diminuição do nível dos rios temporários.;Melhoria da qualidade do ar.;B
PORTUGUÊS;Função da Linguagem (Emotiva);Múltipla Escolha;ENEM;A função de linguagem predominante em um diário pessoal é a:;Referencial.;Fática.;Emotiva.;Metalinguística.;Poética.;C
DIREITO ADMINISTRATIVO;Atos (Atributos);Certo/Errado;CESPE;A autoexecutoriedade é o atributo do ato administrativo que permite à Administração Pública executá-lo sem a necessidade de intervenção do Poder Judiciário.;Certo;Errado;;;;Certo
INFORMÁTICA;Redes (DHCP);Múltipla Escolha;VUNESP;O protocolo DHCP (Dynamic Host Configuration Protocol) tem como principal função:;Transferir arquivos grandes.;Distribuir endereços IP dinamicamente para os dispositivos da rede.;Resolver nomes de domínio (DNS).;Criptografar dados.;Autenticar usuários.;B
MATEMÁTICA;Geometria Analítica (Ponto Médio);Múltipla Escolha;VUNESP;O ponto médio do segmento de reta com extremidades A(2, 4) e B(6, 8) é:;(4, 6);(8, 12);(3, 4);(2, 4);(1, 2);A
HISTÓRIA;República Velha (Guerra do Contestado);Múltipla Escolha;FGV;A Guerra do Contestado (Sul do Brasil) foi um conflito marcado por questões:;Religiosas e de disputa por terras.;Exclusivamente políticas e partidárias.;Raciais e de abolição da escravidão.;De fronteira com o Paraguai.;De separação do Sul do Brasil.;A
GEOGRAFIA;Desenvolvimento (Sustentabilidade);Múltipla Escolha;VUNESP;O conceito de desenvolvimento sustentável busca o equilíbrio entre quais pilares?;Economia, tecnologia e política.;Social, ambiental e político.;Econômico, social e ambiental.;Econômico, militar e social.;Cultura, economia e política.;C
PORTUGUÊS;Sintaxe (Aposto);Múltipla Escolha;FGV;O termo sublinhado em "Machado de Assis, grande escritor brasileiro, é leitura obrigatória" é um:;Objeto direto.;Adjunto adnominal.;Complemento nominal.;Aposto.;Predicativo do sujeito.;D
DIREITO CONSTITUCIONAL;Garantias Constitucionais;Certo/Errado;CESPE;A lei não excluirá da apreciação do Poder Judiciário lesão ou ameaça a direito.;Certo;Errado;;;;Certo
INFORMÁTICA;Software (Tipos);Múltipla Escolha;VUNESP;O termo "Middleware" refere-se a um software que:;Atua como interface entre o sistema operacional e o usuário.;Conecta diferentes aplicações e sistemas de software.;É responsável pela segurança de rede.;Gerencia o hardware do computador.;Criptografa dados.;B
MATEMÁTICA;Sistemas Lineares (Cálculo);Múltipla Escolha;FGV;Dado o sistema $x + y = 10$ e $x - y = 4$, o valor de x é:;5;7;6;3;4;B
HISTÓRIA;Idade Média (Queda de Constantinopla);Múltipla Escolha;ENEM;A queda de Constantinopla (Império Bizantino) para os turcos otomanos em 1453 é um evento que marca o fim da:;Idade Antiga.;Idade Média.;Idade Moderna.;Pré-História.;Idade Contemporânea.;B
GEOGRAFIA;Globalização (Conceitos);Múltipla Escolha;ENEM;A redução das distâncias geográficas e a intensificação dos fluxos de mercadorias, informações e capitais definem o fenômeno da:;Regionalização.;Fragmentação geopolítica.;Globalização.;Desconcentração industrial.;Urbanização.;C
PORTUGUÊS;Ortografia (Mal/Mau);Múltipla Escolha;VUNESP;Assinale a frase correta.;Ele é mau-humorado, mas tem um mal dia.;Ele é mal-humorado, mas tem um mau dia.;Ele é mau-humorado, mas tem um mau-dia.;Ele é mau-humorado, mas tem um mal dia.;Ele é mau humorado, mas tem um mal dia.;D
DIREITO ADMINISTRATIVO;Contratos (Equilíbrio);Certo/Errado;CESPE;O princípio da intangibilidade do contrato administrativo garante que as cláusulas não podem ser alteradas em hipótese alguma.;Certo;Errado;;;;Errado
INFORMÁTICA;Ataque (DDoS);Múltipla Escolha;FGV;O ataque DDoS (Distributed Denial of Service) tem como objetivo:;Roubar senhas de usuários.;Criptografar arquivos.;Sobrecaregar um servidor com múltiplas requisições simultâneas.;Instalar um vírus no sistema.;Monitorar o tráfego de rede.;C
MATEMÁTICA;Equações (Potência);Múltipla Escolha;VUNESP;Qual o valor de $x$ na equação $x^2 = 144$?;12;72;12 e -12;24;14,4;C
HISTÓRIA;Reforma Protestante (Calvinismo);Múltipla Escolha;ENEM;A doutrina calvinista (João Calvino) se destacou por pregar a:;Salvação pelas obras e indulgências.;Predestinação absoluta e o valor do trabalho duro.;Supremacia do Papa.;Retorno ao politeísmo.;Comunhão de bens.;B
GEOGRAFIA;Recursos Hídricos (Uso);Múltipla Escolha;FGV;A maior parte da água doce consumida no mundo é utilizada para qual atividade?;Uso doméstico.;Geração de energia elétrica.;Uso industrial.;Agricultura e irrigação.;Lazer e turismo.;D
PORTUGUÊS;Regência (Verbo Perdoar);Múltipla Escolha;FGV;A regência está correta em:;Perdoei o erro do aluno.;Perdoei ao erro do aluno.;Perdoei do erro do aluno.;Perdoei no erro do aluno.;Perdoei com o erro do aluno.;A
DIREITO CONSTITUCIONAL;Direito de Propriedade;Certo/Errado;CESPE;O direito de propriedade é garantido, mas deve atender à sua função social.;Certo;Errado;;;;Certo
INFORMÁTICA;Software (Open Source);Múltipla Escolha;VUNESP;O termo Open Source (Código Aberto) implica que:;O software é sempre gratuito.;O código-fonte é disponibilizado para visualização e modificação.;O software não tem proteção de direitos autorais.;É proibida a venda do software.;O software só pode ser usado em Linux.;B
MATEMÁTICA;Trigonometria (Cosseno);Múltipla Escolha;VUNESP;Em um triângulo retângulo, o cosseno de um ângulo agudo é dado pela razão entre:;Cateto oposto e cateto adjacente.;Cateto adjacente e hipotenusa.;Cateto oposto e hipotenusa.;Hipotenusa e cateto adjacente.;Cateto oposto e hipotenusa.;B
HISTÓRIA;Segunda Guerra Mundial (Aliança);Múltipla Escolha;FGV;Qual era o nome do grupo de países que se opunha aos Aliados durante a Segunda Guerra Mundial?;Potências Centrais.;Eixo.;Comintern.;Tríplice Entente.;Bloco Socialista.;B
GEOGRAFIA;Biomas (Amazônia);Múltipla Escolha;ENEM;A Floresta Amazônica é crucial para o regime de chuvas do Brasil devido à sua capacidade de:;Bloquear as massas de ar frias.;Transferir umidade para outras regiões (Rios Voadores).;Aumentar a temperatura global.;Diminuir a densidade demográfica.;Conter inundações.;B
PORTUGUÊS;Concordância (Haver);Múltipla Escolha;FGV;Assinale a frase correta.;Houveram muitas dúvidas na prova.;Deve haver muitas dúvidas na prova.;Existem muitas dúvidas na prova.;Faz muitos anos que não o vejo.;Tanto B quanto C estão corretas.;E
DIREITO ADMINISTRATIVO;Princípio da Publicidade (Exceção);Certo/Errado;CESPE;O princípio da publicidade é absoluto, não admitindo exceções em nenhuma hipótese.;Certo;Errado;;;;Errado
INFORMÁTICA;Criptografia (Conceito);Múltipla Escolha;ENEM;O que garante a "Integridade" de um dado na Segurança da Informação?;Apenas pessoas autorizadas podem acessá-lo.;O dado não foi alterado ou modificado.;O dado está disponível quando necessário.;A identidade do emissor é confirmada.;O dado é criptografado.;B
MATEMÁTICA;Função de 2º Grau (Vértice);Múltipla Escolha;VUNESP;A fórmula do valor máximo ou mínimo (y do vértice) de uma parábola é:;$-\frac{b}{2a}$;$\frac{b}{2a}$;$\frac{-\Delta}{4a}$;$\frac{\Delta}{4a}$;$-\frac{c}{a}$;C
HISTÓRIA;Crise de 1929;Múltipla Escolha;ENEM;O New Deal, programa implementado por Franklin D. Roosevelt após a Crise de 1929, tinha como objetivo:;Promover o liberalismo radical.;Incentivar a não intervenção estatal na economia.;Promover a intervenção estatal para reativar a economia.;Aumentar a produção agrícola e a exportação.;Retomar o padrão-ouro.;C
GEOGRAFIA;Matriz Energética (Não-Renovável);Múltipla Escolha;VUNESP;Qual das fontes de energia abaixo é classificada como não-renovável e altamente poluente, sendo muito utilizada em termelétricas?;Solar.;Hidrelétrica.;Eólica.;Carvão Mineral.;Biomassa.;D
PORTUGUÊS;Colocação Pronominal (Início de Frase);Múltipla Escolha;FGV;A colocação pronominal está incorreta em:;Me disseram a verdade.;Disseram-me a verdade.;Não me disseram a verdade.;Quem me disse a verdade.;Em se tratando de política.;A
DIREITO CONSTITUCIONAL;Direitos de 3ª Geração;Certo/Errado;CESPE;Os direitos de terceira dimensão (geração) são aqueles relacionados à fraternidade e solidariedade (ex: direito ao meio ambiente equilibrado).;Certo;Errado;;;;Certo
INFORMÁTICA;Serviços Web;Múltipla Escolha;FGV;Qual tecnologia utiliza o formato XML ou JSON para permitir a troca de dados entre sistemas diferentes na web?;CSS.;HTML.;Web Services (APIs).;Sistema Operacional.;Banco de Dados.;C
MATEMÁTICA;Geometria (Triângulo);Múltipla Escolha;VUNESP;A soma dos ângulos internos de qualquer triângulo é sempre:;90º;180º;270º;360º;450º;B
HISTÓRIA;Brasil República (Lutas);Múltipla Escolha;FGV;O movimento do Cangaço, no Nordeste, era uma forma de banditismo social que atuava principalmente em áreas de:;Alto desenvolvimento industrial.;Grande concentração fundiária e miséria.;Forte influência da Igreja.;Democracia consolidada.;Proximidade com o litoral.;B
GEOGRAFIA;Urbanização (Macrocefalia);Múltipla Escolha;ENEM;A macrocefalia urbana é um problema que se manifesta pela:;Crescimento equilibrado das cidades.;Concentração excessiva de serviços e população em uma única cidade.;Melhoria da qualidade de vida.;Desconcentração industrial.;Diminuição das áreas verdes.;B
PORTUGUÊS;Conectivos (Adversidade);Múltipla Escolha;VUNESP;O conectivo que expressa adversidade (oposição) é:;Portanto.;Pois.;Embora.;Contudo.;Porque.;D
DIREITO ADMINISTRATIVO;Impedimento (Conceito);Certo/Errado;CESPE;O impedimento é um vício mais grave que a suspeição, sendo presumido pela lei em razão da relação objetiva do agente com o processo.;Certo;Errado;;;;Certo
INFORMÁTICA;Backup (Incremental);Múltipla Escolha;VUNESP;O backup incremental tem a vantagem de ser mais rápido que o backup completo, mas exige a recuperação de:;Apenas o último arquivo salvo.;O último backup completo e todos os incrementais subsequentes.;Todos os backups já realizados.;Apenas o arquivo completo.;Apenas o último backup incremental.;B
MATEMÁTICA;Equação Exponencial (Interpretação);Múltipla Escolha;ENEM;Se o valor de um carro desvaloriza $10\%$ ao ano, o fator de multiplicação anual é:;0,10;1,10;0,90;1,90;1,0;C
HISTÓRIA;Ditadura Militar (Diretas Já);Múltipla Escolha;ENEM;O movimento das "Diretas Já" (década de 80) reivindicava:;O fim do regime militar.;Eleições diretas para presidente.;O aumento dos salários.;A anistia política.;A reforma agrária.;B
GEOGRAFIA;Recursos Hídricos (Bacias);Múltipla Escolha;VUNESP;A maior bacia hidrográfica do mundo em volume de água, localizada majoritariamente no Brasil, é a bacia:;Platina.;São Francisco.;Amazônica.;Tocantins-Araguaia.;Paraná.;C
PORTUGUÊS;Voz Passiva (Sintética);Múltipla Escolha;FGV;Transforme "Aluga-se casa" para a voz ativa.;Alguém aluga casa.;A casa é alugada.;A casa se aluga.;Ele aluga a casa.;Alugam-se as casas.;A
DIREITO CONSTITUCIONAL;Direitos de 4ª Geração;Certo/Errado;CESPE;Os direitos de quarta dimensão (geração) estão relacionados à democracia e à informática (biotecnologia, pluralismo, etc.).;Certo;Errado;;;;Certo
INFORMÁTICA;Planilhas (Função Condicional);Múltipla Escolha;VUNESP;Em planilhas (Excel/Calc), a função utilizada para testar uma condição e retornar um valor se a condição for verdadeira e outro se for falsa é a função:;SOMA.;SE.;MÉDIA.;CONT.SE.;PROCV.;B
MATEMÁTICA;Juros Simples (Taxa);Múltipla Escolha;FGV;Um capital de R$ 500,00 gerou juros de R$ 50,00 em 5 meses. Qual a taxa de juros simples mensal?;1%;2%;5%;10%;20%;B
HISTÓRIA;Período Colonial (Bandeiras);Múltipla Escolha;VUNESP;As Bandeiras, expedições realizadas no Brasil Colônia, tinham como principal objetivo:;A busca por metais preciosos e a captura de indígenas.;A catequese dos povos nativos.;A organização de feiras e comércio.;A demarcação de fronteiras com a Espanha.;A defesa do litoral contra invasores.;A
GEOGRAFIA;Globalização (Empresas);Múltipla Escolha;ENEM;As grandes empresas que possuem matriz em um país e filiais em diversos outros são conhecidas como:;Estatais.;Nacionais.;Multinacionais ou transnacionais.;Regionais.;Locais.;C
PORTUGUÊS;Interpretação (Efeito de Sentido);Múltipla Escolha;ENEM;O uso de ironia em um texto tem a finalidade de:;Tornar o texto mais objetivo.;Estabelecer um contraste, dizendo o oposto do que se pensa, com tom de crítica ou humor.;Afastar o leitor do tema.;Comprovar dados.;Garantir a imparcialidade.;B
DIREITO ADMINISTRATIVO;Improbidade (Sanções);Certo/Errado;CESPE;Uma das sanções previstas na Lei de Improbidade Administrativa é a perda da função pública.;Certo;Errado;;;;Certo
INFORMÁTICA;Software (Sistema);Múltipla Escolha;FGV;O Windows, Linux e macOS são exemplos de:;Aplicativos de escritório.;Linguagens de programação.;Sistemas Operacionais.;Protocolos de rede.;Compiladores.;C
MATEMÁTICA;Análise Combinatória (Princípio Fundamental);Múltipla Escolha;VUNESP;Em uma lanchonete, há 3 tipos de pão, 4 tipos de recheio e 2 tipos de queijo. Quantos sanduíches diferentes podem ser formados?;9;12;24;36;48;C
HISTÓRIA;Segunda Guerra Mundial (EUA);Múltipla Escolha;ENEM;A entrada dos Estados Unidos na Segunda Guerra Mundial ocorreu após o ataque a:;Normandia.;Pearl Harbor.;Berlim.;Hiroshima.;Stalingrado.;B
GEOGRAFIA;Cartografia (Projeção);Múltipla Escolha;ENEM;A projeção cartográfica mais comum, que distorce as áreas dos continentes, mas preserva a forma, sendo muito usada em navegação, é a de:;Peters.;Robinson.;Mercator.;Cilíndrica.;Plana.;C
PORTUGUÊS;Regência (Verbo Preferir);Múltipla Escolha;FGV;A regência está correta em:;Prefiro mais café do que chá.;Prefiro café a chá.;Prefiro café do que chá.;Prefiro mais café a chá.;Prefiro o café ao chá.;B
DIREITO CONSTITUCIONAL;Nacionalidade (Naturalizado);Certo/Errado;CESPE;Brasileiro naturalizado pode ser extraditado por crime comum praticado antes da naturalização.;Certo;Errado;;;;Certo
INFORMÁTICA;Malwares (Tipos);Múltipla Escolha;VUNESP;O malware que se esconde em um sistema, permitindo que um invasor tenha acesso total e remoto (porta dos fundos), é um:;Vírus.;Trojan (Cavalo de Troia).;Adware.;Worm.;Rootkit.;B
MATEMÁTICA;Sequências (PA);Múltipla Escolha;ENEM;O valor do 10º termo da PA (2, 4, 6, ...) é:;18;20;22;24;26;B
HISTÓRIA;Revolução Industrial (Consequências);Múltipla Escolha;VUNESP;A formação da "luta de classes" entre burguesia e proletariado é uma consequência direta do(a):;Feudalismo.;Absolutismo.;Revolução Industrial.;Guerra Fria.;Neoliberalismo.;C
GEOGRAFIA;Urbanização (Inchaço);Múltipla Escolha;FGV;O termo "inchaço urbano" é usado para descrever o crescimento desordenado de cidades, geralmente acompanhado de:;Melhoria na infraestrutura.;Aumento da segregação socioespacial e problemas ambientais.;Diminuição do êxodo rural.;Crescimento planejado.;Diminuição da população absoluta.;B
PORTUGUÊS;Sintaxe (Oração Coordenada);Múltipla Escolha;VUNESP;Na frase "Não só estudei, mas também passei", a oração é coordenada:;Adversativa.;Alternativa.;Aditiva.;Conclusiva.;Explicativa.;C
DIREITO ADMINISTRATIVO;Princípio da Moralidade;Certo/Errado;CESPE;O princípio da moralidade exige que o administrador público atue com boa-fé, lealdade e honestidade.;Certo;Errado;;;;Certo
INFORMÁTICA;Segurança (Confidencialidade);Múltipla Escolha;FGV;Qual princípio da segurança da informação visa garantir que a informação não seja divulgada ou acessada por pessoas não autorizadas?;Integridade.;Disponibilidade.;Confidencialidade.;Autenticidade.;Não-repúdio.;C
MATEMÁTICA;Função Afim (Cálculo);Múltipla Escolha;VUNESP;Se $f(x) = 2x - 5$, o valor de $f(4)$ é:;3;8;13;4;1;A
HISTÓRIA;Guerra Fria (Oposição ideológica);Múltipla Escolha;ENEM;A oposição entre o Bloco Capitalista e o Bloco Socialista durante a Guerra Fria foi marcada por:;Confrontos militares diretos.;Competição em áreas como tecnologia e influência política.;Total isolamento econômico.;Aliança militar para a paz.;Busca pela hegemonia religiosa.;B
GEOGRAFIA;Recursos Hídricos (Transposição);Múltipla Escolha;VUNESP;O projeto de transposição do Rio São Francisco visa primariamente a:;Geração de energia elétrica.;Navegação em todo o rio.;Minimização da seca no semiárido nordestino.;Controle de enchentes.;Desenvolvimento da piscicultura.;C
PORTUGUÊS;Tipos de Linguagem (Formal/Informal);Múltipla Escolha;ENEM;A linguagem utilizada em um artigo científico deve ser prioritariamente:;Coloquial.;Regional.;Formal e técnica.;Poética.;Emotiva.;C
DIREITO CONSTITUCIONAL;Intervenção Federal;Certo/Errado;CESPE;A intervenção federal nos Estados é uma exceção ao princípio da autonomia, e pode ocorrer para manter a integridade nacional, entre outras hipóteses.;Certo;Errado;;;;Certo
INFORMÁTICA;Redes (Protocolo);Múltipla Escolha;FGV;Qual protocolo é utilizado para a transferência de páginas web (hipertexto)?;FTP;SMTP;HTTP;POP3;IMAP;C
MATEMÁTICA;Geometria (Triângulo);Múltipla Escolha;VUNESP;Um triângulo com lados 3 cm, 4 cm e 5 cm é classificado como:;Equilátero.;Isósceles.;Escaleno e retângulo.;Escaleno e acutângulo.;Isósceles e obtusângulo.;C
HISTÓRIA;Brasil República (Voto de Cabresto);Múltipla Escolha;FGV;O "voto de cabresto" no Brasil da Primeira República era um mecanismo de:;Garantia da liberdade eleitoral.;Fraude eleitoral e manipulação do voto.;Alistamento obrigatório.;Representação popular.;Eleição indireta.;B
GEOGRAFIA;Climas (Semiárido);Múltipla Escolha;VUNESP;A principal característica do clima semiárido brasileiro é:;Temperaturas amenas e chuvas bem distribuídas.;Altas temperaturas e chuvas irregulares e escassas.;Baixas temperaturas e geadas.;Grande amplitude térmica diária.;Ventos fortes.;B
PORTUGUÊS;Pontuação (Aposto);Múltipla Escolha;FGV;A vírgula é usada corretamente para isolar o aposto em:;João, o irmão de Maria, chegou cedo.;João e Maria, os irmãos, chegaram cedo.;O irmão de Maria, João, chegou cedo.;João, o irmão, de Maria chegou cedo.;Tanto A quanto B estão corretas.;E
DIREITO ADMINISTRATIVO;Licitação (Princípio);Certo/Errado;CESPE;O princípio da vinculação ao instrumento convocatório obriga tanto a Administração quanto o licitante a cumprir as regras do edital.;Certo;Errado;;;;Certo
INFORMÁTICA;Internet (Busca);Múltipla Escolha;ENEM;O que define um "Motor de Busca" (Search Engine)?;Um tipo de antivírus.;Um software que organiza e disponibiliza informações da web.;Um protocolo de rede.;Um tipo de sistema operacional.;Um firewall avançado.;B
MATEMÁTICA;Porcentagem (Cálculo);Múltipla Escolha;ENEM;Se 40% de um número é 80, qual é esse número?;160;200;320;400;500;B
HISTÓRIA;Colonização (Missões);Múltipla Escolha;VUNESP;A oposição entre Bandeirantes e Jesuítas no Brasil Colônia ocorria principalmente devido à:;Disputa pelo ouro.;Luta pela posse do litoral.;Diferença de nacionalidade.;Captura e escravização dos indígenas pelos Bandeirantes.;Controle da cana-de-açúcar.;D
GEOGRAFIA;Recursos Naturais (Não-Renovável);Múltipla Escolha;ENEM;O recurso natural que se forma pela decomposição de matéria orgânica ao longo de milhões de anos é o:;Carvão mineral.;Madeira.;Água.;Solo fértil.;Vento.;A
PORTUGUÊS;Sintaxe (Conjunção);Múltipla Escolha;VUNESP;Qual conjunção introduz uma oração subordinada adverbial concessiva?;Conforme;Se;Embora;Portanto;Como;C
DIREITO CONSTITUCIONAL;Remédios (Habeas Data);Certo/Errado;CESPE;O Habeas Data protege o direito de retificação de dados incorretos, quando não preferir fazê-lo por processo sigiloso, judicial ou administrativo.;Certo;Errado;;;;Certo
INFORMÁTICA;Segurança (Autenticidade);Múltipla Escolha;FGV;O princípio da Autenticidade, em segurança da informação, garante que:;O dado não foi alterado.;O dado está disponível.;A informação é acessível.;O dado só é acessível a autorizados.;A identidade do usuário ou sistema é confirmada.;E
MATEMÁTICA;Área (Losango);Múltipla Escolha;FGV;A área de um losango com diagonais 8 cm e 6 cm é:;48 cm²;24 cm²;14 cm²;28 cm²;30 cm²;B
HISTÓRIA;Revolução Francesa (Fases);Múltipla Escolha;FGV;A fase da Revolução Francesa conhecida como Diretório (1795-1799) foi marcada pelo(a):;Início do Terror.;Estabilidade política.;Ascensão da alta burguesia (girondinos) ao poder.;Monarquia constitucional.;Domínio dos jacobinos.;C
GEOGRAFIA;Crescimento (Teoria Demográfica);Múltipla Escolha;ENEM;Qual teoria demográfica prega que o crescimento populacional, se não for controlado, crescerá em progressão geométrica, enquanto a produção de alimentos crescerá em progressão aritmética?;Neomalthusiana.;Ecomalthusiana.;Malthusiana.;Reformista.;Transição Demográfica.;C
PORTUGUÊS;Figuras de Linguagem (Hipérbole);Múltipla Escolha;VUNESP;A figura de linguagem utilizada em "Chorei rios de lágrimas" é:;Metáfora.;Ironia.;Eufemismo.;Hipérbole.;Comparação.;D
DIREITO ADMINISTRATIVO;Anulação;Certo/Errado;CESPE;A anulação de um ato administrativo ocorre quando este apresenta vício de legalidade, e tem efeitos ex tunc (retroativos).;Certo;Errado;;;;Certo
INFORMÁTICA;Redes (Conceitos);Múltipla Escolha;VUNESP;Qual termo é usado para se referir a uma rede de longa distância que abrange grandes áreas geográficas (ex: cidades, países)?;LAN.;WAN.;MAN.;PAN.;CAN.;B
MATEMÁTICA;Logaritmos (Cálculo);Múltipla Escolha;VUNESP;O valor de $\log_{10}(1000)$ é:;1;10;100;3;4;D
HISTÓRIA;Guerra Fria (Corrida Armamentista);Múltipla Escolha;FGV;O termo "dissuasão nuclear" refere-se à política da Guerra Fria baseada em:;Desarmamento total.;A ameaça de retaliar um ataque nuclear.;A criação de zonas neutras.;A cooperação tecnológica.;A limitação de tropas convencionais.;B
GEOGRAFIA;Biomas (Caatinga);Múltipla Escolha;ENEM;A Caatinga é o único bioma exclusivamente brasileiro e tem como principal ameaça o(a):;Chuva ácida.;Desmatamento e desertificação.;Aumento da área de Mata Atlântica.;Geleiras.;Erosão eólica.;B
PORTUGUÊS;Conectivos (Conclusão);Múltipla Escolha;VUNESP;Qual conectivo expressa conclusão?;Embora;Porque;Contudo;Portanto;Caso;D
DIREITO CONSTITUCIONAL;Poder Judiciário;Certo/Errado;CESPE;Ao Poder Judiciário é garantida a inamovibilidade, a irredutibilidade de subsídio e a vitaliciedade aos seus membros, após o estágio probatório.;Certo;Errado;;;;Certo
INFORMÁTICA;Criptografia (Assimétrica);Múltipla Escolha;FGV;A principal desvantagem da criptografia de chave pública (assimétrica) em comparação com a simétrica é:;Não ser segura.;Ser mais lenta no processamento de grandes volumes de dados.;Usar apenas uma chave.;Não garantir autenticidade.;Ser mais barata.;B
MATEMÁTICA;Inequações (Solução);Múltipla Escolha;ENEM;A solução da inequação $3x + 9 \geq 0$ é:;$x \leq -3$;$x \geq -3$;$x \geq 3$;$x \leq 3$;$x = -3$;B
HISTÓRIA;Império Romano (Queda);Múltipla Escolha;VUNESP;Um dos principais fatores que contribuíram para a queda do Império Romano do Ocidente foi a:;Expansão marítima.;Paz Romana (Pax Romana).;Pressão e invasão dos povos bárbaros (germânicos).;Reforma Protestante.;Industrialização.;C
GEOGRAFIA;Indústria (Tipos);Múltipla Escolha;FGV;Indústrias que utilizam grande quantidade de matéria-prima e baixo valor tecnológico em seus produtos (ex: siderurgia) são:;Indústrias de bens de consumo.;Indústrias de bens intermediários ou de base.;Indústrias de alta tecnologia.;Indústrias de ponta.;Indústrias extrativas.;B
PORTUGUÊS;Concordância (Haja Vista);Múltipla Escolha;FGV;A concordância está correta em:;Haja vistas os problemas.;Haja vista os problemas.;Hajam vista os problemas.;Haja vista aos problemas.;Haja vistos os problemas.;B
DIREITO ADMINISTRATIVO;Licitação (Princípio);Certo/Errado;CESPE;O princípio da adjudicação compulsória na licitação impede que o vencedor seja desclassificado após a homologação.;Certo;Errado;;;;Errado
INFORMÁTICA;Internet (Serviços);Múltipla Escolha;VUNESP;O serviço de DNS (Domain Name System) é essencial para a internet porque:;Acelera o download de arquivos.;Traduz nomes de domínio (URL) para endereços IP.;Criptografa o tráfego de dados.;Garante a segurança do e-mail.;Controla o fluxo de dados.;B
MATEMÁTICA;Progressão Aritmética (PA) (Razão);Múltipla Escolha;VUNESP;Qual a razão de uma PA onde o 1º termo é 5 e o 5º termo é 25?;4;5;6;10;20;B
HISTÓRIA;Ditadura Militar (Política Externa);Múltipla Escolha;ENEM;O Brasil, durante parte da Ditadura Militar, adotou uma política externa denominada:;Alinhamento automático com os EUA.;Pragmatismo responsável.;Isolacionismo.;Aliança com o Bloco Socialista.;Neutralidade total.;B
GEOGRAFIA;Urbanização (Macrocefalia);Múltipla Escolha;VUNESP;A macrocefalia urbana é um problema social e econômico que ocorre principalmente em:;Cidades médias.;Países desenvolvidos.;Países em desenvolvimento e subdesenvolvidos.;Áreas rurais.;Cidades planejadas.;C
PORTUGUÊS;Pronomes de Tratamento (Uso);Múltipla Escolha;FGV;O pronome de tratamento correto para se dirigir a um Reitor de Universidade é:;Vossa Excelência.;Vossa Senhoria.;Vossa Santidade.;Vossa Magnificência.;Vossa Alteza.;D
DIREITO CONSTITUCIONAL;Direito Social (Educação);Certo/Errado;CESPE;A educação, direito de todos e dever do Estado e da família, será promovida e incentivada com a colaboração da sociedade, visando ao pleno desenvolvimento da pessoa, seu preparo para o exercício da cidadania e sua qualificação para o trabalho.;Certo;Errado;;;;Certo
INFORMÁTICA;Software (Freeware/Shareware);Múltipla Escolha;ENEM;O Shareware é um tipo de software que:;É totalmente gratuito.;Pode ser copiado e distribuído, mas exige pagamento após um período de teste.;Tem o código-fonte aberto.;É uma versão de demonstração que nunca expira.;É usado apenas em redes.;B
MATEMÁTICA;Área (Quadrado);Múltipla Escolha;VUNESP;O perímetro de um quadrado é 40 cm. Qual é a sua área?;40 cm²;80 cm²;100 cm²;160 cm²;200 cm²;C
HISTÓRIA;Revolução Industrial (Conceitos);Múltipla Escolha;FGV;O conceito de "mais-valia", central no pensamento marxista, refere-se:;Ao capital investido pelo burguês.;Ao valor do produto final no mercado.;Ao lucro total da empresa.;Ao valor do trabalho não pago ao trabalhador.;Ao imposto sobre a produção.;D
GEOGRAFIA;Meio Ambiente (Efeito Estufa);Múltipla Escolha;ENEM;A principal causa do agravamento do efeito estufa é o aumento da concentração de:;Oxigênio (O2);Nitrogênio (N2);Gases do Efeito Estufa (GEEs), como o CO2 e o Metano.;Hélio (He);Ozônio (O3);C
PORTUGUÊS;Análise Sintática (Objeto Direto);Múltipla Escolha;VUNESP;Na frase "Ele comprou um livro", o termo sublinhado é:;Objeto indireto.;Objeto direto.;Complemento nominal.;Adjunto adnominal.;Predicativo do sujeito.;B
DIREITO ADMINISTRATIVO;Licitação (Dispensa);Certo/Errado;CESPE;A dispensa de licitação é a regra, sendo a licitação a exceção, para a contratação de obras e serviços pela Administração Pública.;Certo;Errado;;;;Errado
